# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 185 m 6 profiles 2239488 fails 0 solved 10123 secs 0.0
core 186 m 6 profiles 2239488 fails 0 solved 13433 secs 0.1
core 187 m 6 profiles 2239488 fails 0 solved 14118 secs 0.1
core 188 m 6 profiles 2239488 fails 0 solved 16846 secs 0.1
core 189 m 6 profiles 2239488 fails 0 solved 8611 secs 0.0
core 190 m 6 profiles 2239488 fails 0 solved 8749 secs 0.0
core 191 m 6 profiles 2239488 fails 0 solved 16394 secs 0.1
core 192 m 6 profiles 2239488 fails 0 solved 14934 secs 0.1
core 193 m 6 profiles 2239488 fails 0 solved 8311 secs 0.0
core 194 m 6 profiles 2239488 fails 0 solved 15146 secs 0.1
core 195 m 6 profiles 2239488 fails 0 solved 18595 secs 0.1
core 196 m 6 profiles 2239488 fails 0 solved 16742 secs 0.1
core 197 m 6 profiles 2239488 fails 0 solved 8837 secs 0.0
core 198 m 6 profiles 2239488 fails 0 solved 11577 secs 0.0
core 199 m 6 profiles 2239488 fails 0 solved 12704 secs 0.1
core 200 m 6 profiles 2239488 fails 0 solved 9368 secs 0.1
core 201 m 6 profiles 2239488 fails 0 solved 9150 secs 0.0
core 202 m 6 profiles 2239488 fails 0 solved 13115 secs 0.1
core 203 m 6 profiles 2239488 fails 0 solved 13411 secs 0.1
core 204 m 6 profiles 2239488 fails 0 solved 12732 secs 0.1
core 205 m 6 profiles 2239488 fails 0 solved 15660 secs 0.1
core 206 m 6 profiles 2239488 fails 0 solved 8016 secs 0.1
core 207 m 6 profiles 2239488 fails 0 solved 8016 secs 0.0
core 208 m 6 profiles 2239488 fails 0 solved 10576 secs 0.1
core 209 m 6 profiles 2239488 fails 0 solved 7388 secs 0.0
core 210 m 6 profiles 2239488 fails 0 solved 7093 secs 0.0
core 211 m 6 profiles 2239488 fails 0 solved 4675 secs 0.0
core 212 m 6 profiles 2239488 fails 0 solved 5551 secs 0.0
core 213 m 6 profiles 2239488 fails 0 solved 13001 secs 0.1
core 214 m 6 profiles 2239488 fails 0 solved 11003 secs 0.0
core 215 m 6 profiles 2239488 fails 0 solved 8732 secs 0.1
core 216 m 6 profiles 2239488 fails 0 solved 11172 secs 0.1
core 217 m 6 profiles 2239488 fails 0 solved 10971 secs 0.1
core 218 m 6 profiles 2239488 fails 0 solved 6482 secs 0.0
core 219 m 6 profiles 2239488 fails 0 solved 13707 secs 0.1
core 220 m 6 profiles 2239488 fails 0 solved 7094 secs 0.0
core 221 m 6 profiles 2239488 fails 0 solved 7313 secs 0.0
core 222 m 6 profiles 2239488 fails 0 solved 9456 secs 0.1
core 223 m 6 profiles 2239488 fails 0 solved 7742 secs 0.0
core 224 m 6 profiles 2239488 fails 0 solved 6145 secs 0.0
core 225 m 6 profiles 2239488 fails 0 solved 12403 secs 0.1
core 226 m 6 profiles 2239488 fails 0 solved 8228 secs 0.0
core 227 m 6 profiles 2239488 fails 0 solved 7885 secs 0.0
core 228 m 6 profiles 2239488 fails 0 solved 7588 secs 0.0
core 229 m 6 profiles 2239488 fails 0 solved 12057 secs 0.1
core 230 m 6 profiles 2239488 fails 0 solved 13281 secs 0.1
core 231 m 6 profiles 2239488 fails 0 solved 5838 secs 0.0
core 232 m 6 profiles 2239488 fails 0 solved 13050 secs 0.1
