# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 11, kinds Q4P4P4P3P4, 238878720 profiles: 41 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4Q4P4P3P3, 3317760 profiles: 17 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4Q4P3P4P3, 3317760 profiles: 14 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4P4Q3P3, 573308928 profiles: 98 allocations, 0 D2 failures, 1.1 s
n = 5, m = 11, kinds P4P4P4P4P3, 41278242816 profiles: 228 allocations, 0 D2 failures, 19.8 s
n = 5, m = 10, kinds Q4P4Q3P4P3, 573308928 profiles: 96 allocations, 0 D2 failures, 1.0 s
n = 5, m = 10, kinds Q4Q3P4P4P3, 573308928 profiles: 85 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds Q4Q4P4P3P3, 207360 profiles: 5 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4P4P3Q3, 4976640 profiles: 22 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q4Q3P4P3P4, 47775744 profiles: 19 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds Q4P4P4P3P4, 238878720 profiles: 38 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q4P4P4Q3P3, 47775744 profiles: 23 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds Q4P4Q3P4P3, 4976640 profiles: 18 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4Q3P4P4P3, 4976640 profiles: 10 allocations, 0 D2 failures, 0.1 s
n = 5, m = 11, kinds Q4P4P4P4P3, 238878720 profiles: 25 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds P4Q4P4Q3P3, 47775744 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4Q4Q3P4P3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3Q4P4P4P3, 4976640 profiles: 6 allocations, 0 D2 failures, 0.1 s
n = 5, m = 11, kinds P4Q4P4P4P3, 238878720 profiles: 29 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4P4P3Q4P3, 23887872 profiles: 39 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds P4Q4P3Q4P3, 207360 profiles: 4 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4Q3Q4P3, 35831808 profiles: 47 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds P4Q3P4Q4P3, 35831808 profiles: 28 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q3P4P4Q4P3, 35831808 profiles: 33 allocations, 0 D2 failures, 0.3 s
n = 5, m = 11, kinds P4P4P4Q4P3, 1719926784 profiles: 59 allocations, 0 D2 failures, 1.3 s
n = 5, m = 10, kinds Q4P4P4Q3P3, 47775744 profiles: 22 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds Q4P4Q3P4P3, 4976640 profiles: 8 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4Q3P4P4P3, 4976640 profiles: 15 allocations, 0 D2 failures, 0.1 s
n = 5, m = 11, kinds Q4P4P4P4P3, 238878720 profiles: 33 allocations, 0 D2 failures, 0.4 s
n = 5, m = 11, kinds Q4P4P4P4P3, 27518828544 profiles: 163 allocations, 0 D2 failures, 8.3 s
n = 5, m = 10, kinds P4P4Q4Q3P3, 47775744 profiles: 28 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4Q3Q4P4P3, 4976640 profiles: 21 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3P4Q4P4P3, 4976640 profiles: 18 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P4Q3Q4P3, 35831808 profiles: 36 allocations, 0 D2 failures, 0.4 s
n = 5, m = 11, kinds P4P4Q4P4P3, 238878720 profiles: 43 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds P4Q3P4Q4P3, 35831808 profiles: 38 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q3P4P4Q4P3, 35831808 profiles: 32 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds Q4P4P3P4Q3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q4P4P3Q3P4, 47775744 profiles: 32 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q4Q3P3P4P4, 4976640 profiles: 26 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds P4P4P4Q4P3, 1719926784 profiles: 66 allocations, 0 D2 failures, 1.7 s
n = 5, m = 11, kinds Q4P4P3P4P4, 238878720 profiles: 50 allocations, 0 D2 failures, 0.7 s
n = 5, m = 10, kinds P4P4Q3P4Q3, 859963392 profiles: 102 allocations, 0 D2 failures, 1.4 s
n = 5, m = 10, kinds P4P4P4Q3Q3, 859963392 profiles: 134 allocations, 0 D2 failures, 2.1 s
n = 5, m = 10, kinds P4P4Q3Q3P4, 859963392 profiles: 120 allocations, 0 D2 failures, 1.9 s
n = 5, m = 10, kinds P4Q3P4P4Q3, 859963392 profiles: 112 allocations, 0 D2 failures, 1.3 s
n = 5, m = 10, kinds P4Q3P4Q3P4, 859963392 profiles: 94 allocations, 0 D2 failures, 1.7 s
n = 5, m = 10, kinds Q3P4P4Q3P4, 859963392 profiles: 108 allocations, 0 D2 failures, 1.6 s
n = 5, m = 11, kinds Q4P4P3P4P4, 27518828544 profiles: 196 allocations, 0 D2 failures, 26.0 s
n = 5, m = 11, kinds P4P4P4P4Q3, 41278242816 profiles: 221 allocations, 0 D2 failures, 27.1 s
n = 5, m = 11, kinds P4P4Q3P4P4, 41278242816 profiles: 237 allocations, 0 D2 failures, 26.1 s
n = 5, m = 10, kinds P4P4P3Q4Q3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4Q3P3Q4P4, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3P4P3Q4P4, 47775744 profiles: 32 allocations, 0 D2 failures, 0.3 s
