# command: python3 c4min_hunt_run.py ../results/k4_certs_2.json.gz ../results/k4_certs_3.json.gz ../results/k4_certs_4_n4_1.json.gz ../results/k4_certs_4_n4_2.json.gz -V
# commit d478b63, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:12:42 UTC 2026
core 31 m 6 profiles 2985984 fails 0 solved 475 secs 2.1
core 32 m 6 profiles 2985984 fails 0 solved 626 secs 2.3
core 33 m 6 profiles 2985984 fails 0 solved 459 secs 3.0
core 34 m 6 profiles 2985984 fails 0 solved 332 secs 2.9
core 35 m 6 profiles 2985984 fails 0 solved 520 secs 2.2
core 36 m 6 profiles 2985984 fails 0 solved 505 secs 2.7
core 37 m 6 profiles 2985984 fails 0 solved 318 secs 3.0
core 38 m 6 profiles 2985984 fails 0 solved 560 secs 2.5
core 39 m 6 profiles 2985984 fails 0 solved 522 secs 2.5
core 40 m 6 profiles 2985984 fails 0 solved 457 secs 3.3
core 41 m 6 profiles 2985984 fails 0 solved 510 secs 3.0
core 42 m 6 profiles 2985984 fails 0 solved 573 secs 2.9
core 43 m 6 profiles 2985984 fails 0 solved 433 secs 2.6
core 44 m 6 profiles 2985984 fails 0 solved 416 secs 1.9
core 45 m 6 profiles 2985984 fails 0 solved 360 secs 3.0
core 46 m 6 profiles 2985984 fails 0 solved 554 secs 1.7
core 47 m 6 profiles 2985984 fails 0 solved 486 secs 2.6
core 48 m 6 profiles 2985984 fails 0 solved 327 secs 2.8
core 49 m 6 profiles 2985984 fails 0 solved 430 secs 2.7
core 50 m 6 profiles 2985984 fails 0 solved 373 secs 1.8
core 51 m 6 profiles 2985984 fails 0 solved 467 secs 2.6
core 52 m 6 profiles 2985984 fails 0 solved 465 secs 2.2
core 53 m 6 profiles 2985984 fails 0 solved 458 secs 2.8
core 54 m 6 profiles 2985984 fails 0 solved 507 secs 2.6
core 55 m 6 profiles 2985984 fails 0 solved 350 secs 2.3
core 56 m 6 profiles 2985984 fails 0 solved 427 secs 3.5
core 57 m 6 profiles 2985984 fails 0 solved 490 secs 2.2
core 58 m 6 profiles 2985984 fails 0 solved 480 secs 2.5
core 59 m 6 profiles 2985984 fails 0 solved 308 secs 2.9
core 60 m 6 profiles 2985984 fails 0 solved 380 secs 3.4
core 61 m 6 profiles 2985984 fails 0 solved 502 secs 2.2
core 62 m 6 profiles 2985984 fails 0 solved 321 secs 2.7
core 63 m 6 profiles 2985984 fails 0 solved 354 secs 2.6
core 64 m 6 profiles 2985984 fails 0 solved 387 secs 2.3
core 65 m 6 profiles 2985984 fails 0 solved 427 secs 2.6
core 66 m 6 profiles 2985984 fails 0 solved 323 secs 2.3
core 67 m 6 profiles 2985984 fails 0 solved 407 secs 3.4
core 68 m 6 profiles 2985984 fails 0 solved 334 secs 2.2
core 69 m 6 profiles 2985984 fails 0 solved 436 secs 2.7
core 70 m 6 profiles 2985984 fails 0 solved 510 secs 2.5
core 71 m 6 profiles 2985984 fails 0 solved 547 secs 2.3
core 72 m 6 profiles 2985984 fails 0 solved 350 secs 2.4
core 73 m 6 profiles 2985984 fails 0 solved 480 secs 2.2
core 74 m 6 profiles 2985984 fails 0 solved 198 secs 2.8
core 75 m 6 profiles 2985984 fails 0 solved 380 secs 2.3
core 76 m 6 profiles 2985984 fails 0 solved 487 secs 2.7
core 77 m 6 profiles 2985984 fails 0 solved 385 secs 2.3
core 78 m 6 profiles 2985984 fails 0 solved 352 secs 1.9
core 79 m 6 profiles 2985984 fails 0 solved 296 secs 2.9
core 80 m 7 profiles 1492992 fails 0 solved 443 secs 1.8
core 81 m 7 profiles 1492992 fails 0 solved 352 secs 1.2
core 82 m 7 profiles 1492992 fails 0 solved 263 secs 1.5
core 83 m 7 profiles 1492992 fails 0 solved 200 secs 1.7
core 84 m 7 profiles 1492992 fails 0 solved 304 secs 1.6
core 85 m 7 profiles 1492992 fails 0 solved 378 secs 1.3
core 86 m 7 profiles 1492992 fails 0 solved 345 secs 1.5
core 87 m 7 profiles 1492992 fails 0 solved 320 secs 1.7
core 88 m 7 profiles 1492992 fails 0 solved 373 secs 1.6
core 89 m 7 profiles 1492992 fails 0 solved 416 secs 1.5
core 90 m 7 profiles 1492992 fails 0 solved 290 secs 1.4
core 91 m 7 profiles 746496 fails 0 solved 704 secs 0.5
core 92 m 7 profiles 746496 fails 0 solved 625 secs 0.9
core 93 m 7 profiles 1492992 fails 0 solved 592 secs 1.0
core 94 m 7 profiles 1492992 fails 0 solved 715 secs 1.0
core 95 m 7 profiles 1492992 fails 0 solved 609 secs 1.4
core 96 m 7 profiles 1492992 fails 0 solved 532 secs 1.3
core 97 m 7 profiles 1492992 fails 0 solved 393 secs 1.6
core 98 m 7 profiles 1492992 fails 0 solved 521 secs 1.3
core 99 m 7 profiles 1492992 fails 0 solved 398 secs 1.8
core 100 m 7 profiles 1492992 fails 0 solved 451 secs 1.0
core 101 m 7 profiles 1492992 fails 0 solved 473 secs 1.6
core 102 m 7 profiles 1492992 fails 0 solved 582 secs 1.0
core 103 m 7 profiles 1492992 fails 0 solved 404 secs 1.5
core 104 m 7 profiles 1492992 fails 0 solved 490 secs 1.0
core 105 m 7 profiles 1492992 fails 0 solved 455 secs 1.7
core 106 m 7 profiles 1492992 fails 0 solved 292 secs 1.5
core 107 m 7 profiles 1492992 fails 0 solved 502 secs 1.3
core 108 m 7 profiles 1492992 fails 0 solved 287 secs 1.3
core 109 m 7 profiles 2985984 fails 0 solved 643 secs 2.2
core 110 m 7 profiles 2985984 fails 0 solved 536 secs 2.6
core 111 m 7 profiles 2985984 fails 0 solved 505 secs 1.8
core 112 m 7 profiles 2985984 fails 0 solved 497 secs 2.2
core 113 m 7 profiles 2985984 fails 0 solved 573 secs 1.9
core 114 m 7 profiles 2985984 fails 0 solved 562 secs 1.9
core 115 m 7 profiles 2985984 fails 0 solved 574 secs 1.9
core 116 m 7 profiles 2985984 fails 0 solved 409 secs 2.6
core 117 m 7 profiles 2985984 fails 0 solved 436 secs 2.5
core 118 m 7 profiles 2985984 fails 0 solved 295 secs 2.4
core 119 m 7 profiles 2985984 fails 0 solved 490 secs 2.2
core 120 m 7 profiles 2985984 fails 0 solved 535 secs 2.2
core 121 m 7 profiles 2985984 fails 0 solved 226 secs 2.8
core 122 m 7 profiles 2985984 fails 0 solved 342 secs 2.5
core 123 m 7 profiles 2985984 fails 0 solved 442 secs 2.3
core 124 m 7 profiles 2985984 fails 0 solved 320 secs 2.6
core 125 m 7 profiles 2985984 fails 0 solved 342 secs 2.4
core 126 m 7 profiles 2985984 fails 0 solved 385 secs 2.3
core 127 m 7 profiles 2985984 fails 0 solved 409 secs 1.7
core 128 m 7 profiles 2985984 fails 0 solved 537 secs 2.7
core 129 m 7 profiles 2985984 fails 0 solved 382 secs 1.9
core 130 m 7 profiles 2985984 fails 0 solved 352 secs 2.0
core 131 m 7 profiles 2985984 fails 0 solved 417 secs 2.6
core 132 m 7 profiles 2985984 fails 0 solved 443 secs 2.4
core 133 m 7 profiles 2985984 fails 0 solved 260 secs 2.6
core 134 m 7 profiles 2985984 fails 0 solved 301 secs 2.2
core 135 m 7 profiles 2985984 fails 0 solved 218 secs 2.4
core 136 m 7 profiles 2985984 fails 0 solved 304 secs 2.5
core 137 m 7 profiles 2985984 fails 0 solved 390 secs 2.0
core 138 m 7 profiles 2985984 fails 0 solved 412 secs 2.1
core 139 m 7 profiles 2985984 fails 0 solved 227 secs 2.3
core 140 m 7 profiles 2985984 fails 0 solved 387 secs 3.0
core 141 m 7 profiles 2985984 fails 0 solved 239 secs 2.6
core 142 m 7 profiles 2985984 fails 0 solved 465 secs 1.8
core 143 m 7 profiles 2985984 fails 0 solved 269 secs 3.0
core 144 m 7 profiles 2985984 fails 0 solved 446 secs 2.0
core 145 m 7 profiles 2985984 fails 0 solved 369 secs 1.9
core 146 m 7 profiles 2985984 fails 0 solved 262 secs 1.7
core 147 m 7 profiles 2985984 fails 0 solved 255 secs 2.7
core 148 m 7 profiles 2985984 fails 0 solved 117 secs 2.5
core 149 m 7 profiles 2985984 fails 0 solved 197 secs 2.1
core 150 m 7 profiles 2985984 fails 0 solved 196 secs 1.9
core 151 m 7 profiles 2985984 fails 0 solved 194 secs 2.8
core 152 m 7 profiles 2985984 fails 0 solved 195 secs 2.4
core 153 m 7 profiles 2985984 fails 0 solved 201 secs 2.0
core 154 m 7 profiles 2985984 fails 0 solved 520 secs 2.3
core 155 m 7 profiles 2985984 fails 0 solved 587 secs 1.9
core 156 m 7 profiles 2985984 fails 0 solved 421 secs 2.1
core 157 m 7 profiles 2985984 fails 0 solved 126 secs 2.3
core 158 m 7 profiles 2985984 fails 0 solved 166 secs 1.7
core 159 m 7 profiles 2985984 fails 0 solved 392 secs 1.5
core 160 m 7 profiles 2985984 fails 0 solved 322 secs 2.5
core 161 m 7 profiles 2985984 fails 0 solved 390 secs 2.1
core 162 m 7 profiles 2985984 fails 0 solved 328 secs 1.9
core 163 m 7 profiles 2985984 fails 0 solved 173 secs 2.7
core 164 m 7 profiles 2985984 fails 0 solved 65 secs 2.4
core 165 m 7 profiles 2985984 fails 0 solved 98 secs 2.3
core 166 m 7 profiles 2985984 fails 0 solved 289 secs 1.2
core 167 m 7 profiles 2985984 fails 0 solved 202 secs 2.5
core 168 m 7 profiles 2985984 fails 0 solved 177 secs 2.5
core 169 m 7 profiles 2985984 fails 0 solved 279 secs 2.3
core 170 m 7 profiles 2985984 fails 0 solved 309 secs 1.8
core 171 m 7 profiles 2985984 fails 0 solved 263 secs 2.7
core 172 m 7 profiles 2985984 fails 0 solved 272 secs 2.5
core 173 m 7 profiles 2985984 fails 0 solved 220 secs 1.9
core 174 m 7 profiles 2985984 fails 0 solved 233 secs 2.3
core 175 m 7 profiles 2985984 fails 0 solved 236 secs 2.7
core 176 m 7 profiles 2985984 fails 0 solved 101 secs 2.3
core 177 m 7 profiles 2985984 fails 0 solved 269 secs 1.5
core 178 m 7 profiles 2985984 fails 0 solved 224 secs 2.9
core 179 m 7 profiles 2985984 fails 0 solved 349 secs 1.7
core 180 m 7 profiles 2985984 fails 0 solved 142 secs 2.1
core 181 m 7 profiles 2985984 fails 0 solved 183 secs 2.4
core 182 m 7 profiles 2985984 fails 0 solved 108 secs 2.5
core 183 m 7 profiles 2985984 fails 0 solved 248 secs 1.6
core 184 m 7 profiles 2985984 fails 0 solved 49 secs 2.1
core 185 m 7 profiles 2985984 fails 0 solved 192 secs 2.0
core 186 m 7 profiles 2985984 fails 0 solved 223 secs 2.3
core 187 m 8 profiles 1492992 fails 0 solved 85 secs 1.3
core 188 m 8 profiles 1492992 fails 0 solved 148 secs 0.8
core 189 m 8 profiles 1492992 fails 0 solved 92 secs 1.6
core 190 m 8 profiles 1492992 fails 0 solved 94 secs 1.7
core 191 m 8 profiles 746496 fails 0 solved 499 secs 0.7
core 192 m 8 profiles 746496 fails 0 solved 445 secs 0.6
core 193 m 8 profiles 746496 fails 0 solved 440 secs 0.4
core 194 m 8 profiles 746496 fails 0 solved 406 secs 0.5
core 195 m 8 profiles 746496 fails 0 solved 440 secs 0.9
core 196 m 8 profiles 746496 fails 0 solved 444 secs 0.5
core 197 m 8 profiles 746496 fails 0 solved 392 secs 0.8
core 198 m 8 profiles 746496 fails 0 solved 352 secs 0.4
core 199 m 8 profiles 746496 fails 0 solved 424 secs 0.4
core 200 m 8 profiles 746496 fails 0 solved 421 secs 0.6
core 201 m 8 profiles 746496 fails 0 solved 434 secs 0.7
core 202 m 8 profiles 1492992 fails 0 solved 377 secs 1.7
core 203 m 8 profiles 1492992 fails 0 solved 344 secs 1.8
core 204 m 8 profiles 1492992 fails 0 solved 271 secs 0.9
core 205 m 8 profiles 1492992 fails 0 solved 284 secs 0.9
core 206 m 8 profiles 1492992 fails 0 solved 324 secs 0.9
core 207 m 8 profiles 1492992 fails 0 solved 338 secs 1.0
core 208 m 8 profiles 1492992 fails 0 solved 219 secs 1.3
core 209 m 8 profiles 1492992 fails 0 solved 303 secs 1.0
core 210 m 8 profiles 1492992 fails 0 solved 232 secs 1.2
core 211 m 8 profiles 1492992 fails 0 solved 284 secs 1.1
core 212 m 8 profiles 1492992 fails 0 solved 291 secs 1.2
