# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_1.json.gz ../results/k4_certs_5_n4_2.json.gz --ckpt=../results/k4_c4min_hunt_n5_12.ckpt
# commit 4eb9656, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:11:03 UTC 2026
core 349 m 7 profiles 186624 fails 0 solved 1663 secs 0.0
core 350 m 7 profiles 186624 fails 0 solved 1686 secs 0.0
core 351 m 7 profiles 186624 fails 0 solved 1665 secs 0.0
core 352 m 7 profiles 186624 fails 0 solved 1649 secs 0.0
core 353 m 7 profiles 186624 fails 0 solved 1808 secs 0.0
core 354 m 7 profiles 186624 fails 0 solved 1728 secs 0.0
core 355 m 7 profiles 186624 fails 0 solved 1601 secs 0.0
core 356 m 7 profiles 186624 fails 0 solved 1464 secs 0.0
core 357 m 7 profiles 186624 fails 0 solved 1595 secs 0.0
core 358 m 7 profiles 186624 fails 0 solved 1608 secs 0.0
core 359 m 7 profiles 186624 fails 0 solved 1648 secs 0.0
core 360 m 7 profiles 186624 fails 0 solved 1508 secs 0.0
core 361 m 7 profiles 186624 fails 0 solved 1834 secs 0.0
core 362 m 7 profiles 373248 fails 0 solved 1490 secs 0.0
core 363 m 7 profiles 373248 fails 0 solved 1579 secs 0.0
core 364 m 7 profiles 373248 fails 0 solved 1537 secs 0.0
core 365 m 7 profiles 373248 fails 0 solved 1815 secs 0.0
core 366 m 7 profiles 373248 fails 0 solved 1589 secs 0.0
core 367 m 7 profiles 373248 fails 0 solved 1734 secs 0.0
core 368 m 7 profiles 373248 fails 0 solved 1989 secs 0.0
core 369 m 7 profiles 373248 fails 0 solved 1824 secs 0.0
core 370 m 7 profiles 373248 fails 0 solved 1916 secs 0.0
core 371 m 7 profiles 373248 fails 0 solved 1373 secs 0.0
core 372 m 7 profiles 373248 fails 0 solved 1532 secs 0.0
core 373 m 7 profiles 373248 fails 0 solved 1418 secs 0.0
core 374 m 7 profiles 373248 fails 0 solved 1438 secs 0.0
core 375 m 7 profiles 373248 fails 0 solved 1429 secs 0.0
core 376 m 7 profiles 373248 fails 0 solved 1520 secs 0.0
core 377 m 7 profiles 373248 fails 0 solved 1482 secs 0.0
core 378 m 7 profiles 373248 fails 0 solved 1549 secs 0.0
core 379 m 7 profiles 373248 fails 0 solved 1400 secs 0.0
core 380 m 7 profiles 373248 fails 0 solved 1493 secs 0.0
core 381 m 7 profiles 373248 fails 0 solved 1474 secs 0.0
core 382 m 7 profiles 373248 fails 0 solved 1451 secs 0.0
core 383 m 7 profiles 373248 fails 0 solved 1404 secs 0.0
core 384 m 7 profiles 373248 fails 0 solved 1379 secs 0.0
core 385 m 7 profiles 373248 fails 0 solved 1543 secs 0.0
core 386 m 7 profiles 373248 fails 0 solved 1521 secs 0.0
core 387 m 7 profiles 373248 fails 0 solved 1370 secs 0.0
core 388 m 7 profiles 373248 fails 0 solved 1796 secs 0.0
core 389 m 7 profiles 373248 fails 0 solved 1106 secs 0.0
core 390 m 7 profiles 373248 fails 0 solved 1606 secs 0.0
core 391 m 7 profiles 373248 fails 0 solved 1547 secs 0.0
core 392 m 7 profiles 373248 fails 0 solved 1448 secs 0.0
core 393 m 7 profiles 373248 fails 0 solved 1151 secs 0.0
core 394 m 7 profiles 373248 fails 0 solved 1666 secs 0.0
core 395 m 7 profiles 373248 fails 0 solved 1184 secs 0.0
core 396 m 7 profiles 373248 fails 0 solved 1270 secs 0.0
core 397 m 7 profiles 373248 fails 0 solved 1065 secs 0.0
core 398 m 7 profiles 373248 fails 0 solved 1309 secs 0.0
core 399 m 7 profiles 373248 fails 0 solved 1207 secs 0.0
core 400 m 7 profiles 373248 fails 0 solved 1002 secs 0.0
core 401 m 7 profiles 373248 fails 0 solved 1614 secs 0.0
core 402 m 7 profiles 373248 fails 0 solved 1393 secs 0.0
core 403 m 7 profiles 373248 fails 0 solved 1443 secs 0.0
core 404 m 7 profiles 373248 fails 0 solved 1369 secs 0.0
