# command: python3 c4min_hunt_run.py ../results/k4_certs_4_pure.json.gz --order=big --best=1 --ckpt=../results/k4_c4min_hunt_n4_pure.ckpt
# commit 759e80f, k4/c4min_hunt.c sha1 32b7ad4cec3d, started Fri Sep 25 20:48:31 UTC 2026
core 198 m 10 profiles 1719926784 fails 0 solved 211763 secs 15.3
core 199 m 10 profiles 3439853568 fails 0 solved 181149 secs 28.5
core 200 m 10 profiles 3439853568 fails 0 solved 173766 secs 30.0
core 201 m 10 profiles 3439853568 fails 0 solved 200258 secs 28.7
core 202 m 10 profiles 3439853568 fails 0 solved 169731 secs 26.6
core 203 m 10 profiles 3439853568 fails 0 solved 179848 secs 29.0
core 204 m 10 profiles 3439853568 fails 0 solved 261460 secs 35.7
core 205 m 10 profiles 3439853568 fails 0 solved 212974 secs 33.8
core 206 m 10 profiles 3439853568 fails 0 solved 138788 secs 32.6
core 207 m 10 profiles 6879707136 fails 0 solved 189308 secs 54.6
core 208 m 10 profiles 6879707136 fails 0 solved 182432 secs 50.3
core 209 m 11 profiles 859963392 fails 0 solved 44700 secs 11.5
core 210 m 11 profiles 429981696 fails 0 solved 86003 secs 7.7
core 211 m 11 profiles 429981696 fails 0 solved 85727 secs 7.6
core 212 m 11 profiles 859963392 fails 0 solved 76336 secs 11.5
core 213 m 11 profiles 859963392 fails 0 solved 66218 secs 11.5
core 214 m 11 profiles 859963392 fails 0 solved 64883 secs 8.7
core 215 m 11 profiles 1719926784 fails 0 solved 50107 secs 18.8
core 216 m 11 profiles 1719926784 fails 0 solved 35783 secs 15.1
core 217 m 11 profiles 1719926784 fails 0 solved 52645 secs 14.2
core 218 m 12 profiles 429981696 fails 0 solved 16403 secs 7.4
FILE ../results/k4_certs_4_pure.json.gz cores 219 profiles 1022496473088 solved 95003734 templates 95003734 cachehits 14416242390 fails 0 verified 0 faillines 0
# finished Fri Sep 25 21:11:03 UTC 2026
