# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 275 m 6 profiles 859963392 fails 0 solved 98690 secs 2.6
core 276 m 6 profiles 859963392 fails 0 solved 95589 secs 3.2
core 277 m 6 profiles 859963392 fails 0 solved 97834 secs 2.4
core 278 m 6 profiles 859963392 fails 0 solved 75403 secs 2.1
core 279 m 6 profiles 859963392 fails 0 solved 87110 secs 2.6
core 280 m 6 profiles 859963392 fails 0 solved 94022 secs 3.5
core 281 m 6 profiles 859963392 fails 0 solved 101691 secs 2.6
core 282 m 6 profiles 859963392 fails 0 solved 104757 secs 2.7
core 283 m 6 profiles 859963392 fails 0 solved 102003 secs 3.0
core 284 m 6 profiles 859963392 fails 0 solved 108243 secs 2.8
core 285 m 6 profiles 859963392 fails 0 solved 81213 secs 2.2
core 286 m 6 profiles 859963392 fails 0 solved 98274 secs 2.9
core 287 m 6 profiles 859963392 fails 0 solved 104962 secs 2.9
core 288 m 6 profiles 859963392 fails 0 solved 79400 secs 2.8
core 289 m 6 profiles 859963392 fails 0 solved 82493 secs 3.9
core 290 m 6 profiles 859963392 fails 0 solved 94463 secs 4.8
core 291 m 6 profiles 859963392 fails 0 solved 105482 secs 5.4
core 292 m 6 profiles 859963392 fails 0 solved 107099 secs 5.4
core 293 m 6 profiles 859963392 fails 0 solved 77280 secs 4.9
core 294 m 6 profiles 859963392 fails 0 solved 72724 secs 4.6
core 295 m 6 profiles 859963392 fails 0 solved 83914 secs 5.0
core 296 m 6 profiles 859963392 fails 0 solved 77959 secs 4.7
core 297 m 6 profiles 859963392 fails 0 solved 92612 secs 5.1
core 298 m 6 profiles 859963392 fails 0 solved 80518 secs 4.7
core 299 m 6 profiles 859963392 fails 0 solved 107912 secs 5.2
core 300 m 6 profiles 859963392 fails 0 solved 84764 secs 4.4
